Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C6P_1      SMD_1210_CAPC3225X279N      -79.45mm      107.95mm      -79.45mm      107.95mm      -77.95mm      107.95mm  T        180.00 220uF          
C5         SMD_0603_CAPC1608X80N          -1mm         106mm          -1mm         106mm          -1mm       105.2mm  T         90.00 1nF            
C5P_3      SMD_1210_CAPC3225X279N         -46mm     120.275mm         -46mm     120.275mm         -46mm     118.775mm  T         90.00 100uF          
C5P_2      SMD_1210_CAPC3225X279N       -61.9mm     120.275mm       -61.9mm     120.275mm       -61.9mm     118.775mm  T         90.00 100uF          
C5P_1      SMD_1210_CAPC3225X279N       -77.9mm      120.25mm       -77.9mm      120.25mm       -77.9mm      118.75mm  T         90.00 100uF          
C4         SMD_0603_CAPC1608X80N         -27mm      108.25mm         -27mm      108.25mm         -27mm      109.05mm  T        270.00 100nF          
C4P_3      SMD_1210_CAPC3225X279N       -49.2mm      120.25mm       -49.2mm      120.25mm       -49.2mm      118.75mm  T         90.00 100uF          
C4P_2      SMD_1210_CAPC3225X279N       -65.1mm      120.25mm       -65.1mm      120.25mm       -65.1mm      118.75mm  T         90.00 100uF          
C4P_1      SMD_1210_CAPC3225X279N       -81.1mm      120.25mm       -81.1mm      120.25mm       -81.1mm      118.75mm  T         90.00 100uF          
C3         SMD_0603_CAPC1608X80N          -7mm    106.0001mm          -7mm    106.0001mm          -7mm    105.2001mm  T         90.00 1nF            
C3P_3      SMD_0805_CAPC2012X145N    -48.2001mm    116.6499mm    -48.2001mm    116.6499mm    -47.3001mm    116.6499mm  T        180.00 100nF/50V      
C3P_2      SMD_0805_CAPC2012X145N    -64.1001mm    116.6499mm    -64.1001mm    116.6499mm    -63.2001mm    116.6499mm  T        180.00 100nF/50V      
C3P_1      SMD_0805_CAPC2012X145N    -80.1001mm    116.6499mm    -80.1001mm    116.6499mm    -79.2001mm    116.6499mm  T        180.00 100nF/50V      
C2         SMD_0603_CAPC1608X80N     -3.8999mm    105.9501mm     -3.8999mm    105.9501mm     -3.8999mm    105.1501mm  T         90.00 1nF            
C2P_3      SMD_0805_CAPC2012X145N    -44.0999mm    111.3999mm    -44.0999mm    111.3999mm    -44.0999mm    112.2999mm  T        270.00 1uF/16V        
C2P_2      SMD_0805_CAPC2012X145N    -59.9999mm    111.3999mm    -59.9999mm    111.3999mm    -59.9999mm    112.2999mm  T        270.00 1uF/16V        
C2P_1      SMD_0805_CAPC2012X145N    -75.9999mm    111.3999mm    -75.9999mm    111.3999mm    -75.9999mm    112.2999mm  T        270.00 1uF/16V        
C1         SMD_0805_CAPC2012X145N    -25.2499mm    109.0001mm    -25.2499mm    109.0001mm    -25.2499mm    109.9001mm  T        270.00 10uF/16V       
C1P_3      SMD_0805_CAPC2012X145N    -43.3999mm    118.8499mm    -43.3999mm    118.8499mm    -43.3999mm    119.7499mm  T        270.00 10uF/16V       
C1P_2      SMD_0805_CAPC2012X145N    -59.2999mm    118.8499mm    -59.2999mm    118.8499mm    -59.2999mm    119.7499mm  T        270.00 10uF/16V       
C1P_1      SMD_0805_CAPC2012X145N    -75.2999mm    118.8499mm    -75.2999mm    118.8499mm    -75.2999mm    119.7499mm  T        270.00 10uF/16V       
C17        SMD_0805_CAPC2012X145N        -2.3mm       109.4mm        -2.3mm       109.4mm        -3.2mm       109.4mm  T        360.00 22uF/6.3V      
D3         SMD_0805_LED2012X100N      -16.75mm         117mm      -16.75mm         117mm       -17.8mm         117mm  T        360.00 Yellow SML210YT ROHM
D4         SMD_0805_LED2012X100N      -16.75mm       118.9mm      -16.75mm       118.9mm       -17.8mm       118.9mm  T        360.00 Orange 	SML210DT ROHM
D5         SMD_SOT95P280X145-6N-W    -11.9998mm      120.01mm    -11.9998mm      120.01mm    -13.2998mm      120.96mm  T        360.00 SMS05T1G       
D7         SMD_DO214AC_SMA    -32.4251mm       112.3mm    -32.4251mm       112.3mm    -34.4251mm       112.3mm  T        360.00 (OPT)SS14      
J2         SMD_CON-CVILUX-CU04-SCM15B0       -13.3mm       126.7mm       -13.3mm    126.4999mm       -11.7mm       123.9mm  T        180.00 CU04SCM15B0-R0 
J3         PTH_CON_3.5mm_3PINs       -31.5mm       129.5mm         -28mm       129.5mm         -28mm       129.5mm  T        180.00 CON_3PINS      
R1         SMD_0603_RESC1608X55N       -19.6mm      96.575mm       -19.6mm      96.575mm       -20.4mm      96.575mm  T        360.00 1k             
R2         SMD_0603_RESC1608X55N     -13.975mm        93.5mm     -13.975mm        93.5mm     -14.775mm        93.5mm  T        360.00 1k             
R4         SMD_0603_RESC1608X55N      -13.95mm      92.025mm      -13.95mm      92.025mm      -13.15mm      92.025mm  T        180.00 1k             
R5         SMD_0603_RESC1608X55N       -11.7mm       92.75mm       -11.7mm       92.75mm       -11.7mm       93.55mm  T        270.00 1k             
R6         SMD_0603_RESC1608X55N      -13.95mm          95mm      -13.95mm          95mm      -13.15mm          95mm  T        180.00 1k             
R7         SMD_0603_RESC1608X55N     -11.725mm       95.75mm     -11.725mm       95.75mm     -11.725mm       96.55mm  T        270.00 1k             
R8         SMD_0603_RESC1608X55N       -24.5mm      97.075mm       -24.5mm      97.075mm       -23.7mm      97.075mm  T        180.00 47             
R9         SMD_0603_RESC1608X55N       -24.5mm       103.5mm       -24.5mm       103.5mm       -23.7mm       103.5mm  T        180.00 10k            
R10        SMD_0603_RESC1608X55N       -24.5mm         105mm       -24.5mm         105mm       -23.7mm         105mm  T        180.00 10k            
R11        SMD_0603_RESC1608X55N       -24.5mm       106.5mm       -24.5mm       106.5mm       -23.7mm       106.5mm  T        180.00 10k            
R12        SMD_0603_RESC1608X55N       -24.5mm      101.75mm       -24.5mm      101.75mm       -25.3mm      101.75mm  T        360.00 10k            
R15        SMD_0603_RESC1608X55N        -4.7mm       103.7mm        -4.7mm       103.7mm        -5.5mm       103.7mm  T        360.00 10k            
R16        SMD_0603_RESC1608X55N      -5.475mm         106mm      -5.475mm         106mm      -5.475mm       106.8mm  T        270.00 2.4k           
